Signal,WindowStart,WindowEnd,totalPower,peakFreq,peakPower,specCentroid,specBandwidth,specFlatness,specEntropy,bp_delta,bp_theta,bp_alpha,bp_beta,bp_30_80,bp_80_200,RMS,MAV,ZCR,WL,kurtosis,spectrumCurvature,spectrumSlope,Cluster,Is_EMG_like
dalt,1,512,2569.19798488012,2.25,1337.76373617889,2.68134458414848,1.51687774324464,0.000186602799988248,0.455712043791816,1973.30225309952,387.800349291569,11.2744916475016,1.87323921084374,0.205586718738018,0.0412881534489182,51.6485678921424,39.436838002222,0.0390625,1152.63168148881,3.34877767539234,5184.92129040893,-3.1013306624112,2,0
dalt,257,768,3988.70930366038,0.75,3545.53723620063,1.76992450390159,1.57774582921573,4.6334342379502e-05,0.399198361420676,1570.48241611718,286.997942020056,10.8783165094637,1.83400319810608,0.130526528862275,0.0158360150843361,70.7674718377679,60.3789915560958,0.02734375,1753.30923517091,1.9657997165907,5886.25892446994,-3.42824458136998,2,0
dalt,513,1024,4118.78949881317,3.5,2109.8331188677,2.87180482992244,1.7764359304488,4.9376375084777e-05,0.44240524200298,2292.51753315256,891.768586496771,25.5290567169311,4.1123110207819,0.314890795824853,0.039488565744998,61.2755501517062,52.9707053592827,0.04296875,1662.29097354383,1.88594089793917,9989.15600620926,-3.45677706965148,2,0
dalt,769,1280,2252.11500454335,1,1227.53962121007,2.18889927009856,1.84429286518594,0.000480413475696659,0.462907006201789,1290.92315480205,236.147153042241,8.72806400842472,1.87650299841831,0.368095296035738,0.105622932002766,60.7411791256596,48.0890322790372,0.03125,1271.44515909271,3.03239113779814,2648.91042457282,-2.71920451958653,2,0
dalt,1025,1536,10296.2747759894,0.5,9924.28632402818,0.971745925742412,1.02381599194476,6.81645500424795e-05,0.370439374633072,2956.01522581307,196.224985926958,6.87417497193084,1.23388609613445,0.195409232709734,0.0514221962373939,95.4615143648882,81.3424312148601,0.015625,1432.6346494578,2.00350252516535,15020.058065498,-2.96742611262825,2,0
dalt,1281,1792,16171.466567046,0.75,16085.684016918,1.10767805691443,1.05488226966691,6.77785607423775e-05,0.356772093936502,5587.83328998302,408.251849045981,13.3277809567371,2.88957526770239,0.396833152299682,0.10413707730398,110.016581450189,88.8591874346334,0.02734375,1844.5141638975,2.29699748282014,21067.0861458581,-2.92332296724029,2,0
dalt,1537,2048,4508.90121384983,0.5,3671.16562403011,1.51568989647975,1.9115298860223,0.000490240856036193,0.426752857820443,1697.97027048053,333.877972848933,13.686519088114,3.35995324492229,1.04771071475978,0.332244183378463,90.657001231084,63.0673425647029,0.03515625,1637.49350556876,4.8344861089393,6460.57145492415,-2.62740956985871,2,0
dalt,1793,2304,9205.69264637758,0.75,5810.35561941438,1.39628969376713,1.00182086345735,8.24959649629681e-05,0.401018270586965,5459.8363851991,143.03538327191,8.6494339948312,1.5210159279547,0.20398649380684,0.0508185039358493,76.4436666017055,59.6859987226366,0.0234375,1100.50318247002,2.57176484123503,15745.0789097691,-3.01182746610229,2,0
dalt,2049,2560,1987.2746329766,2.5,1063.68565775939,2.11819113435323,1.49810518887518,4.5191156938816e-05,0.44358369392832,1245.69677761759,171.095161431212,5.61246542521376,0.982643896727506,0.110722728080037,0.0237797614666404,50.1077238670885,38.6662375532062,0.0390625,1310.85284824496,3.7437461864434,2682.55336676484,-3.76570687618007,2,0
dalt,2305,2816,4637.0493166496,0.5,4418.84286416689,1.27869987308475,1.46127504231118,8.9436620048876e-05,0.393927618977221,1285.35946720088,246.732110681482,9.6834278257432,1.66840636271465,0.155909950107428,0.0291022263882231,65.4232770906973,53.6166332871198,0.0234375,1169.08581126695,2.30950469229623,9317.35622382747,-3.108767850525,2,0
